2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1140000,"v":0,"marker":"data-bit","byteIndex":1,"bitIndex":5,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1150000,"v":1,"marker":"data-bit","byteIndex":1,"bitIndex":6,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1160000,"v":1,"marker":"data-bit","byteIndex":1,"bitIndex":7,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1170000,"v":0,"marker":"ack-bit","byteIndex":1,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1180000,"v":1,"marker":"ack-release","byteIndex":1,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1180000,"v":0,"marker":"data-bit","byteIndex":2,"bitIndex":0,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1190000,"v":1,"marker":"data-bit","byteIndex":2,"bitIndex":1,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1200000,"v":0,"marker":"data-bit","byteIndex":2,"bitIndex":2,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1210000,"v":1,"marker":"data-bit","byteIndex":2,"bitIndex":3,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1220000,"v":0,"marker":"data-bit","byteIndex":2,"bitIndex":4,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1230000,"v":0,"marker":"data-bit","byteIndex":2,"bitIndex":5,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1240000,"v":0,"marker":"data-bit","byteIndex":2,"bitIndex":6,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1250000,"v":1,"marker":"data-bit","byteIndex":2,"bitIndex":7,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1260000,"v":0,"marker":"ack-bit","byteIndex":2,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1270000,"v":1,"marker":"ack-release","byteIndex":2,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1270000,"v":0,"marker":"data-bit","byteIndex":3,"bitIndex":0,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1280000,"v":1,"marker":"data-bit","byteIndex":3,"bitIndex":1,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1290000,"v":0,"marker":"data-bit","byteIndex":3,"bitIndex":2,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1300000,"v":1,"marker":"data-bit","byteIndex":3,"bitIndex":3,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1310000,"v":1,"marker":"data-bit","byteIndex":3,"bitIndex":4,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1320000,"v":1,"marker":"data-bit","byteIndex":3,"bitIndex":5,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1330000,"v":1,"marker":"data-bit","byteIndex":3,"bitIndex":6,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1340000,"v":1,"marker":"data-bit","byteIndex":3,"bitIndex":7,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1350000,"v":0,"marker":"ack-bit","byteIndex":3,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1360000,"v":1,"marker":"ack-release","byteIndex":3,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1360000,"v":0,"marker":"data-bit","byteIndex":4,"bitIndex":0,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1370000,"v":1,"marker":"data-bit","byteIndex":4,"bitIndex":1,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1380000,"v":0,"marker":"data-bit","byteIndex":4,"bitIndex":2,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1390000,"v":1,"marker":"data-bit","byteIndex":4,"bitIndex":3,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1400000,"v":0,"marker":"data-bit","byteIndex":4,"bitIndex":4,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":1410000,"v":0,"marker":"data-bit","byteIndex":4,"bitIndex":5,"type":"data"}
